,Unnamed: 0,title,is_fake
0,0,москвич_NOUN владимир_NOUN клутин_NOUN приходить_VERB счет_NOUN вмешательство_NOUN американский_ADJ выборы_NOUN,1
1,1,агент_NOUN кокорин_NOUN называть_VERB езда_NOUN встречок_NOUN житейский_ADJ история_NOUN,0
2,2,госдума_NOUN рассматривать_VERB возможность_NOUN введение_NOUN секретный_ADJ статья_NOUN уголовный_ADJ кодекс_NOUN,1
3,3,фас_NOUN заблокировать_VERB поставка_NOUN скоростной_ADJ трамвай_NOUN москва_NOUN,0
4,4,против_ADP навальный_ADJ заводить_VERB дело_NOUN недоносительство_NOUN волков_NOUN,1
5,5,российский_ADJ студент_NOUN запрещать_VERB учиться_VERB рубеж_NOUN,1
6,6,путин_NOUN писать_VERB книга_NOUN история_NOUN украина_NOUN,1
7,7,россиянин_NOUN обхитрить_VERB рост_NOUN цена_NOUN,0
8,8,звезда_NOUN воронин_NOUN раскрывать_VERB подробность_NOUN свой_DET состояние_NOUN,0
9,9,microsoft_X объявлять_VERB дата_NOUN выход_NOUN очки_NOUN дополнять_VERB реальность_NOUN hololens_X,0
10,10,марат_NOUN хуснуллин_NOUN призывать_VERB прописывать_VERB закон_NOUN понятие_NOUN многонациональный_ADJ дом_NOUN,1
11,11,проведение_NOUN профилактический_ADJ работа_NOUN сентябрь_NOUN россия_NOUN отключать_VERB интернет_NOUN,1
12,12,россия_NOUN вводить_VERB обязательный_ADJ техосмотр_NOUN садовый_ADJ инвентарь_NOUN,1
13,13,топилина_NOUN провозглашать_VERB окончание_NOUN зарплатной_ADJ кризис_NOUN россия_NOUN,0
14,14,режиссер_NOUN алексей_NOUN герман_NOUN награждать_VERB орден_NOUN,0
15,15,олаф_NOUN шольц_NOUN дед_NOUN рассказывать_VERB вкусный_ADJ украина_NOUN курица_NOUN молоко_NOUN яйцо_NOUN,1
16,16,беглов_NOUN петербург_NOUN основывать_VERB наш_DET эра_NOUN полтора_NUM тысяча_NOUN год_NOUN старый_ADJ москва_NOUN,1
17,17,случай_NOUN дефицит_NOUN препарат_NOUN эпиваккорона_NOUN храм_NOUN рпц_NOUN проводить_VERB вакцинация_NOUN святой_ADJ вода_NOUN,1
18,18,энтони_NOUN андерсон_NOUN становиться_VERB молодой_ADJ папаша_NOUN,0
19,19,люксембург_NOUN высылать_VERB страна_NOUN собака_NOUN российский_ADJ дипломат_NOUN,1
20,20,ubisoft_X анонсировать_VERB новый_ADJ часть_NOUN игра_NOUN ghost_X recon_X,0
21,21,байконур_NOUN сломать_VERB малайзийский_ADJ спутник_NOUN,0
22,22,покемон_NOUN одолевать_VERB killzone_X bulletstorm_X британский_ADJ чарт_NOUN,0
23,23,израиль_NOUN возбуждать_VERB уголовный_ADJ дело_NOUN против_ADP виктор_NOUN шендерович_NOUN реабилитация_NOUN нацизм_NOUN,1
24,24,житель_NOUN село_NOUN париж_NOUN признавать_VERB иностранный_ADJ агент_NOUN,1
25,25,противник_NOUN телевизор_NOUN создавать_VERB абсолютный_ADJ оружие_NOUN против_ADP,0
26,26,франция_NOUN закладывать_VERB первый_ADJ мистраль_NOUN россия_NOUN,0
27,27,ольга_NOUN бузов_NOUN удостоить_VERB звание_NOUN заслуженный_VERB артистка_NOUN днр_X,1
28,28,борис_NOUN джонсон_NOUN пожаловаться_VERB двойник_NOUN который_DET регистрировать_VERB выборы_NOUN лейборист_NOUN,1
29,29,американский_ADJ институт_NOUN кинематография_NOUN выбирать_VERB хороший_ADJ фильм_NOUN,0
30,30,ольгино_NOUN объяснять_VERB большой_ADJ количество_NOUN комментарий_NOUN сообщение_NOUN володин_NOUN qrкодах_X,1
31,31,седьмой_ADJ книга_NOUN гарри_NOUN поттер_NOUN побивать_VERB рекорд_NOUN продажа_NOUN,0
32,32,nexter_X gtd_X вместе_ADV строить_VERB бронетранспортер_NOUN испания_NOUN,0
33,33,правительство_NOUN рф_NOUN заставлять_VERB компания_NOUN снижать_VERB бонус_NOUN ради_ADP господдержка_NOUN,0
34,34,майкл_NOUN бэй_NOUN извиняться_VERB кадры_NOUN гибель_NOUN пилот_NOUN континуум_NOUN,0
35,35,metallica_X сыграть_VERB юбилей_NOUN зал_NOUN слава_NOUN рокнролл_NOUN,0
36,36,анатолий_NOUN вассерман_NOUN рассказывать_VERB попытка_NOUN уг_X сорвать_VERB избрание_NOUN госдума_NOUN,1
37,37,физик_NOUN взвешивать_VERB антипротон_NOUN атомкул_NOUN,0
38,38,bloomberg_X сообщать_VERB намерение_NOUN россия_NOUN откладывать_VERB размещение_NOUN евробонд_NOUN,0
39,39,procter_X gamble_X переводить_VERB часть_NOUN бизнес_NOUN сингапур_NOUN,0
40,40,инженер_NOUN cisco_X systems_X создавать_VERB сорокаядерный_ADJ процессор_NOUN,0
41,41,ученый_NOUN отказываться_VERB классический_ADJ гипотеза_NOUN заселение_NOUN америка_NOUN,0
42,42,правительство_NOUN предлагать_VERB объединять_VERB татарстан_NOUN башкортостан_NOUN,1
43,43,онлайнсвадьба_NOUN год_NOUN россия_NOUN зафиксировать_VERB случай_NOUN драка_NOUN,1
44,44,валерий_NOUN рашкин_NOUN лось_NOUN подбрасывать_VERB,1
45,45,январь_NOUN сервис_NOUN google_X drive_X запрещать_VERB хранить_VERB документ_NOUN русский_ADJ язык_NOUN,1
46,46,месся_VERB почувствовать_VERB плохо_ADV самолет_NOUN,0
47,47,зеленский_ADJ называть_VERB назначение_NOUN азаров_NOUN пост_NOUN премьерминистр_NOUN украина_NOUN новогодний_ADJ шутка_NOUN,1
48,48,интерес_NOUN газпромбанк_NOUN защищать_VERB американский_ADJ сенатор_NOUN,0
49,49,алиса_NOUN теплякова_NOUN планировать_VERB выходить_VERB пенсия_NOUN год_NOUN,1
50,50,fox_X начинать_VERB работа_NOUN экранизация_NOUN вольтрон_NOUN,0
51,51,рпц_NOUN призывать_VERB предавать_VERB анафема_NOUN илона_NOUN маска_NOUN изза_NOUN обвал_NOUN биткоин_NOUN,1
52,52,сырьевой_ADJ валюта_NOUN оказываться_VERB устойчивый_ADJ падение_NOUN цена_NOUN нефть_NOUN металл_NOUN,0
53,53,российский_ADJ велогонщик_NOUN попадаться_VERB допинг_NOUN,0
54,54,прививаться_VERB коронавирус_NOUN россиянин_NOUN добавлять_VERB неделя_NOUN отпуск_NOUN,1
55,55,центр_NOUN ереван_NOUN снести_VERB незаконный_ADJ палаточный_ADJ рынок_NOUN,1
56,56,белорусский_ADJ телевидение_NOUN включать_VERB реклама_NOUN момент_NOUN попадание_NOUN таракан_NOUN трансляция_NOUN футбольный_ADJ матч_NOUN олимпиада_NOUN,1
