,title,is_fake
0,москвич владимир клутин приходить счет вмешательство американский выборы,1
1,агент кокорин называть езда встречок житейский история,0
2,госдума рассматривать возможность введение секретный статья уголовный кодекс,1
3,фас заблокировать поставка скоростной трамвай москва,0
4,против навальный заводить дело недоносительство волков,1
5,российский студент запрещать учиться рубеж,1
6,путин писать книга история украина,1
7,россиянин обхитрить рост цена,0
8,звезда воронин раскрывать подробность свой состояние,0
9,microsoft объявлять дата выход очки дополнять реальность hololens,0
10,марат хуснуллин призывать прописывать закон понятие многонациональный дом,1
11,проведение профилактический работа 15 19 сентябрь россия отключать интернет,1
12,россия вводить обязательный техосмотр садовый инвентарь,1
13,топилина провозглашать окончание зарплатной кризис россия,0
14,режиссер алексей герман награждать орден,0
15,олаф шольц дед рассказывать вкусный украина курица молоко яйцо,1
16,беглов петербург основывать наш эра полтора тысяча год старый москва,1
17,случай дефицит препарат эпиваккорона храм рпц проводить вакцинация святой вода,1
18,энтони андерсон становиться молодой папаша,0
19,люксембург высылать страна собака российский дипломат,1
20,ubisoft анонсировать новый часть игра ghost recon,0
21,байконур сломать малайзийский спутник,0
22,покемон одолевать killzone 3 bulletstorm британский чарт,0
23,израиль возбуждать уголовный дело против виктор шендерович реабилитация нацизм,1
24,житель село париж признавать иностранный агент,1
25,противник телевизор создавать абсолютный оружие против,0
26,франция закладывать первый мистраль россия,0
27,ольга бузов удостоить звание заслуженный артистка днр,1
28,борис джонсон пожаловаться двойник который регистрировать выборы лейборист,1
29,американский институт кинематография выбирать хороший фильм,0
30,ольгино объяснять большой количество комментарий сообщение володин qrкодах,1
31,седьмой книга гарри поттер побивать рекорд продажа,0
32,nexter gtd вместе строить бронетранспортер испания,0
33,правительство рф заставлять компания снижать бонус ради господдержка,0
34,майкл бэй извиняться кадры гибель пилот континуум,0
35,u2 metallica сыграть юбилей зал слава рокнролл,0
36,анатолий вассерман рассказывать попытка уг сорвать избрание госдума,1
37,физик взвешивать антипротон атомкул,0
38,bloomberg сообщать намерение россия откладывать размещение евробонд,0
39,procter    gamble переводить часть бизнес сингапур,0
40,инженер cisco systems создавать сорокаядерный процессор,0
41,ученый отказываться классический гипотеза заселение америка,0
42,правительство предлагать объединять татарстан башкортостан,1
43,онлайнсвадьба 2020 год россия зафиксировать 518 случай драка,1
44,валерий рашкин лось подбрасывать,1
45,1 январь сервис google drive запрещать хранить документ русский язык,1
46,месся почувствовать плохо самолет,0
47,зеленский называть назначение азаров пост премьерминистр украина новогодний шутка,1
48,интерес газпромбанк защищать американский сенатор,0
49,алиса теплякова планировать выходить пенсия 18 год,1
50,fox начинать работа экранизация вольтрон,0
51,рпц призывать предавать анафема илона маска изза обвал биткоин,1
52,сырьевой валюта оказываться устойчивый падение цена нефть металл,0
53,российский велогонщик попадаться допинг,0
54,прививаться коронавирус россиянин добавлять неделя отпуск,1
55,центр ереван снести незаконный палаточный рынок,1
56,белорусский телевидение включать реклама момент попадание таракан трансляция футбольный матч олимпиада,1
57,украина опускаться четвертый место отборочный группа евро2008,0
58,greenpeace предлагать запрещать сми указывать биологический вид вредитель,1
59,франкфуртский книжный ярмарка россия представлять 182 издательство,0
60,изза сбой приложение конституция россия мочь вводить конституционный монархия,1
61,ученый заглядывать прошлый марсианский океан,0
62,период предвыборный кампания магазин изымать книга захар прилепин,1
63,группа король шут давать концерт вокалист,0
64,швейцария находить золото который ленин получать немец революция россия,1
65,мила кунис становиться ведьма страна оз,0
66,тбилиси начинаться столкновение полиция протестовать изза приезд познер,1
67,оправдывать российский суд назначать условный наказание,1
68,сибирский ученый создавать полотенце водоотталкивающий свойство,1
69,вмф россия 2012 год пополняться новый подлодка,0
70,росприроднадзор потребовать отзывать лицензия британский нефтяник,0
71,лан дель рей вдохновляться конфликт сша кндр написать песня,0
72,минпросвещение предлагать пороть розга участвовать митинг школьник студент,1
73,барселона выходить четвертьфинал лига чемпион,0
74,белоруссия запрещать делать евроремонт,1
75,минэнерго фрг выпускать обучать ролик пошив тулуп,1
76,российский орбитальный станция сформировывать пять модуль,0
77,становиться мемой дед гарольд привязывать стул доминирующий начальница,0
78,умирать поэтесса андре шедид,0
79,70летняя аргентинка забеременеть прививка спутник v,1
80,доллар рухнуть отказ фнб американский валюта,1
81,польша готовиться издавать поэма папа римский,0
82,подмосковье третий сутки искать полицейский поехать проверка мусороперерабатывающий завод,1
83,олимпийский винтовка бьорндалить ошибка отправлять амстердам,0
84,четырехкратный олимпийский чемпионка уходить спорт 26 год,0
85,станислав черчесов назначать новый главный тренер сборная россия футбол,1
86,чиновник утверждать основной положение отмена мобильный рабство,0
87,ухань честь годовщина пандемия covid19 испечь самый большой мир пирог летучий мышь,1
88,медведев решать ликвидировать рффи,0
89,елизавета ii посещать кентерберийский завод колесный тягач устраивать разнос руководство,1
90,старый playstation расплавлять c помощь газ термит,0
91,андрей кондрашов снимать фильм минск дорога домой,1
92,чубайс попросить откачивать вакцина pfizer,1
93,марк цукерберг прибывать коростенский суд иск мэр город против facebook негативный комментарий горожанин свой пост,1
94,россиянин обязывать страховать свой пенсионный накопление,1
95,взрыв батарея мобильник убивать китаец,0
96,госдума первый чтение убирать библия заповедь украсть,1
97,бывший форвард сборный юар футбол погибать дтп,0
98,роберт даунимладший сражаться чужой дикий запад,0
99,австралия присоединяться запрет кассетный боеприпасы,0
100,любовь соболь пообещать продолжать борьба сирия,1
101,центробанк начинать размещать реклама новый купюра,1
102,саундтрек великий гэтсби удерживать лидерство российский чарт itunes,0
103,центробанк предлагать устанавливать курс 40 рубль доллар,0
104,либеральный консервативный иисус оказываться совершенно разный,0
105,костя цзю переходить весовой категория,0
106,россия оценивать число потенциальный банкрот,0
107,московский метро находить бесхозный контрольный пакет акция норникель,1
108,минздрав поблагодарить гражданин самостоятельно вакцинироваться общественный место,1
109,православный активист намерен сорвать лекция гомеоморфизм мгу,1
110,депутат дума устраивать давка драка время распродажа доллар льготный курс,1
111,пятерочка минировать дорогой товар предотвращение кража,1
112,игорь моисеев отмечать 100летний юбилей,0
113,domestos разрабатывать свой антивирус,1
114,канцлер германия спасать банкротство крупный строительный фирма,0
115,роспотребнадзор приостанавливать ввоз молочный продукция литва,0
116,россия помечать весь лекарство,0
117,портал работа россия потратить 20 млрд рубль трудоустройство заключенный,1
118,президент украинский клуб рассказывать желание купить месся 3 миллион евро,0
119,предотвращение дальнейший испражнение улица петербург демонтировать весь балкон,1
120,словарь abbyy lingvo получать функция видеоперевод,0
121,мариинский театр поневоле присоединяться всеобщий забастовка италия,0
122,начальный класс переводить учебник арифметика юрий рыбников,1
123,медведев называть газпром национальный достояние,0
124,сильный бейсболист мир уличать применение допинг,0
125,игра борьба космический морпехи ксеноморф выходить зима 2013 год,0
126,бардем предлагать озвучивать мультипликационный злодей,0
127,активист blm раскритиковывать музей мадам тюссо слишком белый скульптура байден,1
128,новый город сибирь построить место омск,1
129,поветкин рассказывать готовность реванш кличко,0
130,вшэ устанавливать 90процентную квота прием девушка представитель лгбт национальный меньшинство,1
131,трамп заявлять план создание партия единый америка,1
132,цена норвежский красный рыба достигать десятилетний максимум,0
133,лубянский площадь перекрывать 31 январь изза установка памятник дзержинский,1
134,москва пройти фестиваль психоделический рок,0
135,микроавтобус уаз краштесто германия разбиваться доезжать бетонный блок,1
136,сергей иванов литва система свойчужой российский истребитель,0
137,депутат предлагать принудительно конвертировать весь валютный вклад россиянин рубль изза угроза введение новый санкция,1
138,burger king начинать продавать хотдоги,0
139,директор европейский институт генетика расист мочь говорить наука чемто обязанный белый мышь,1
140,oxxxуmiron признаваться автор текст новый альбом являться гострайтер нейросеть,1
141,причина рост цена бензин становиться картельный сговор нефтяник,0
142,задолженность зарплата россия вырастать шесть процент,0
143,николай лукашенко называть свой кумир джастин трюдо,1
144,футболист сборная алжир ударять журналистка,0
145,известный картина леонардо винчи обнаруживать qrкод,1
146,далеко божий помощь москва мужчина пускать храм инвалидный коляска,1
147,бельгийский министр одобрять бегство француз налог,0
148,олег кашин назначать новый глава издательский дом комсомольский правда,1
149,джо байден хотеть потребовать освобождать навальный забывать имя,1
150,людмила путин потребовать половина дворец геленджик,1
151,азербайджан увеличивать военный бюджет полтора,0
152,шойгу предлагать строить место сгорать лес город якутия,1
153,христенко ошибочно заявлять рекордный падение промышленность,0
154,московский ученый допускать существование разумный форма жизнь предел мкад,1
155,оперативник агентство национальный безопасность украина заменять балаклава традиционный японский маска,1
156,газпром проводить газ родной деревня адольф гитлер,1
157,цик рф предлагать вводить допустимый лимит ошибка подсчет голос,1
158,правительство россия дорого заплатить федеральный целевой программа,0
159,объявлять размер пенсия неработающий пенсионер,0
160,тренер российский клуб поклясться ребенок честный игра,0
161,правительство снижать пенсионный возраст 2 год вакцинировать гражданин,1
162,суд комсомольскенаамур вносить роман островский закаляться сталь список экстремистский материал,1
163,единый россия мочь укомплектовывать фракция госдума изза нежелание кандидат принимать депутатский мандат,1
164,владелец сеть розовый кролик пускать австралия,1
165,navistar поставлять крупный партия грузовик канадский армия,0
166,защита навальный эльман пашаев досрочно восстанавливать действие адвокатский лицензия,1
167,лара крофт лишать сюжетный дополнение,0
168,камера nexus 5 заставлять работать быстро,0
169,путин рассказывать новый налоговый льгота нефтяник,0
170,армения 2024 год переходить кириллица,1
171,делегация движение талибан встречаться воспитанник юнармия,1
172,институт виноградов рекомендовать переименовывать русский язык российский,1
173,владимир мединский рассказывать почему термин северный война семилетний война равноправный,1
174,инфляция начало год перевалить четыре процент,0
175,ридус сообщать обыск азиатскотихоокеанский банк,0
176,курников переигрывать сеяный теннисистка,0
177,националист просвирнин признавать нежелательный территория россия,1
178,москва место б1 maximum открываться главклуб,0
179,лондон вручать театральный премия лоуренс оливье,0
180,гражданин белоруссия испражняться здание международный суд оон гаага,1
181,российский фигуристка ирина слуцкая даль серебряный медаль,0
182,минпросвещение перенести старт егэ огэ 31 январь,1
183,жена билл гейтс развод получать корзина обои internet explorer,1
184,автор песня american pie арестовывать домашний насилие,0
185,samsung выпускать экологичный терабайтный жесткий диск,0
186,утконосый динозавр оказываться отличный зуб,0
187,день вдв власть москва вводить qrкоды купание фонтан,1
188,фанат загитова затравливать олимпийский призерка,0
189,памфилов намекать знать разрешать конфликт брюханова литвинович,1
190,лихтенштейн помешать иностранец уходить налог,0
191,хоккеист ударять лицо объятие соперник,0
192,фас прекращать дело против google,0
193,мкс цуп переходить зимний время,0
194,египетский водитель запрещать включать двигатель около пирамида,0
195,wada запрещать спортсмен прививать спутник v выступать олимпиада,1
196,выходить второй трейлер чудоженщина галь гадот,0
197,брызгалов одерживать 30ю победа сезон,0
198,последний год прокуратура проверка банк югра,0
199,менеджер юкос искать директор,0
200,джереми айронс сыграть генрих iv телефильм,0
201,россия начинаться разработка уголовный кодекс антипрививочник,1
202,новатэк попросить кремль выделять 23 политзаключенный обмен арестованный сша топменеджер компания,1
203,россия мочь запрещать пьяный поножовщина 2200,1
204,родить мальчик получать повышенный материнский капитал,1
205,эффективный борьба коронавирус доктор фаучивать рекомендовать прислушиваться кашпировский,1
206,вратарь сборная исландия заранее готовиться пенальти месся,0
207,всемирный фольклориада уфа выводить новый штамм коронавирус,1
208,муамар каддафи становиться совладелец ювентус,0
209,китай появляться первый биотехнологический майнинговый ферма,1
210,теодора рузвельт продлять срок служба,0
211,милон потребовать пускать океан ельзь россия,0
212,новый закон выводить депутат изпод действие закон,1
213,беглов объявлять старт сезон разведение мост санктпетербург,1
214,участие акция протест россиянин обязывать предоставлять справка психиатр,1
215,сколково доставлять образец кристалл комета галлей антимассспектрография,1
216,японский футболист изуродовать машина,0
217,автор книга гарри поттер пожертвовать 100 000 доллар борьба рак,0
218,омск задерживать трое мужчина который попытаться вбрасывать бюллетень 1937 год сталин,1
219,автобус возить президент весь дед занимать место окно анатолий вассерман рассказывать случай дедовщина госдума,1
220,японский экспорт сокращаться ноябрь четверть,0
221,изза коронавирусный ограничение 30 процент школьница смочь потерять девственность выпускной,1
222,демократический партия сша отзывать палата представитель весь гетеросексуальный конгрессмен,1
223,великобритания изменять дата смерть могила джордж оруэлл,1
224,российский футбольный союз принимать извинение капитан сборная латвия,0
225,рейтинг джо байден вырастать 10 появление билборд пенсильвания,1
226,ученый сколково устанавливать частый использование кофеварка ускорять износ,1
227,предложение рго земля францаиосиф переименовывать земля петр феврония,1
228,неделя плеер bluray отвоевывать hd dvd треть рынок,0
229,нидерланды увеличивать свой контингент афганистан,0
230,изза дефицит уран тепловыделяющий сборка белорусский аэс заменять процессор amd,1
231,учитель музыка рассказывать ребенок соль оставаться стража суд,1
232,мегафон переставать предоставлять доступ интернет рейс аэрофлот,0
233,франция продавать атомный подлодка который отказываться австралия кндр,1
234,кремль предоставлять оппозиционный деятель культура бесплатный билет пароход стокгольм,1
235,walt disney выпускать ранний мультфильм бертон 3d,0
236,сталин осведомитель охранный отделение глава общественный палата призывать гражданин активно сообщать нарушение закон,1
237,ваш гагарин    безбожник рпц призывать идеализировать личность первый космонавт,1
238,индекс ртс упасть ниже 1500 пункт,0
239,анб проверять причастность российский спецслужба заражение джена псаки коронавирус,1
240,эмблема олимпиады2020 токио заменять изза обвинение плагиат,0
241,президент монголия называть александр невский хороший русский правитель,1
242,владимир крикунов покидать пост тренер российский хоккейный сборная,0
